position,depth,mode,threads,best_move,best_score,nodes,time_seconds,speedup,efficiency
Ruy Lopez,4,sequential,1,"(5,1) -> (3,3)",-10,37310,0.016704,1,1
Ruy Lopez,4,parallel,1,"(5,1) -> (3,3)",-10,37310,0.016638,1.00397,1.00397
Ruy Lopez,4,parallel,2,"(5,1) -> (3,3)",-10,37310,0.008409,1.98644,0.993222
Ruy Lopez,4,parallel,4,"(5,1) -> (3,3)",-10,37310,0.006278,2.66072,0.66518
Ruy Lopez,4,parallel,8,"(5,1) -> (3,3)",-10,37310,0.009056,1.84452,0.230565
Ruy Lopez,5,sequential,1,"(5,5) -> (3,6)",110,187004,0.200414,1,1
Ruy Lopez,5,parallel,1,"(5,5) -> (3,6)",110,187004,0.202246,0.990942,0.990942
Ruy Lopez,5,parallel,2,"(5,5) -> (3,6)",110,187004,0.123109,1.62794,0.81397
Ruy Lopez,5,parallel,4,"(5,5) -> (3,6)",110,187004,0.103145,1.94303,0.485758
Ruy Lopez,5,parallel,8,"(5,5) -> (3,6)",110,187004,0.062516,3.2058,0.400725
Ruy Lopez,6,sequential,1,"(6,0) -> (4,0)",-100,3086870,1.72493,1,1
Ruy Lopez,6,parallel,1,"(5,5) -> (3,6)",-100,3086870,1.73951,0.991618,0.991618
Ruy Lopez,6,parallel,2,"(5,5) -> (3,6)",-100,3086870,1.05064,1.64179,0.820893
Ruy Lopez,6,parallel,4,"(5,5) -> (3,6)",-100,3086870,0.73949,2.33259,0.583149
Ruy Lopez,6,parallel,8,"(5,5) -> (3,6)",-100,3086870,0.542597,3.17903,0.397378
